,Year,Type,Country,Activity,sex,Injury,Fatal
0,2018,Boating,USA,Paddling,FEMALE,"No injury to occupant, outrigger canoe and paddle damaged",NO
1,2018,Unprovoked,USA,Standing,FEMALE,Minor injury to left thigh,NO
2,2018,Invalid,USA,Surfing,MALE,Injury to left lower leg from surfboard skeg,NO
3,2018,Unprovoked,AUSTRALIA,Surfing,MALE,Minor injury to lower leg,NO
4,2018,Provoked,MEXICO,Free diving,MALE,Lacerations to leg & hand shark PROVOKED INCIDENT,NO
5,2018,Unprovoked,AUSTRALIA,Kite surfing,MALE,"No injury, board bitten",NO
6,2018,Unprovoked,BRAZIL,Swimming,MALE,FATAL,YES
7,2018,Unprovoked,USA,Fishing,MALE,Minor injury to foot. PROVOKED INCIDENT,NO
8,2018,Unprovoked,USA,Walking,MALE,Lower left leg bitten,NO
9,2018,Unprovoked,USA,Standing,MALE,Minor injury to foot,NO
10,2018,Provoked,AUSTRALIA,Feeding sharks,MALE,Minor bite to hand by captive shark. PROVOKED INCIDENT,NO
11,2018,Unprovoked,USA,Boogie boarding,MALE,Injuries to lower right leg and foot,NO
12,2018,Unprovoked,USA,Swimming,MALE,Severe bite to right forearm,NO
13,2018,Invalid,ENGLAND,Fishing,MALE,Injured by teeth of a dead porbeagle shark he was tossing overboard.,NO
14,2018,Provoked,AUSTRALIA,Feeding sharks,FEMALE,Shallow lacerations to finger PROVOKED INCIDENT,NO
15,2018,Unprovoked,SOUTH AFRICA,Surfing,MALE,"Minor injury, marks on board",NO
16,2018,Questionable,AUSTRALIA,Surfing,MALE,"No injury, surfboard damaged",NO
17,2018,Unprovoked,THAILAND,Swimming,MALE,Minor injury to ankle,NO
18,2018,Unprovoked,COSTA RICA,Scuba diving,MALE,"No injury, shark bit scuba gear",NO
19,2018,Unprovoked,AUSTRALIA,Surfing,MALE,"No injury, knocked off board by shark",NO
20,2018,Questionable,AUSTRALIA,Surfing,MALE,No injury,NO
22,2018,Unprovoked,AUSTRALIA,Surfing,MALE,"No injury, shark struck his leg",NO
23,2018,Unprovoked,MALDIVES,Fishing,MALE,5-inch cut to hand,NO
24,2018,Unprovoked,SOUTH AFRICA,Paddle-skiing,MALE,"No injury, shark bit hole in ski",NO
25,2018,Unprovoked,USA,Body boarding,MALE,Lacerations to right lower leg,NO
